"","Difficulty","keyPostGameRating.keys","keyPostGameRating.rt","post_game_question","survey_planet","Block","Incentive","ExactAge","FlooredAge","AgeGroup","participant"
"242","Hard",3,3.384,"How hard did you try?","moon","Hard 1¢","1¢",13.1424657534247,13,"Adolescents",31
"243","Hard",4,2.8601,"How hard did you try?","moon","Hard 10¢","10¢",13.1424657534247,13,"Adolescents",31
"244","Easy",3,2.9076,"How hard did you try?","saturn","Easy 1¢","1¢",13.1424657534247,13,"Adolescents",31
"245","Easy",4,4.1919,"How hard was this galaxy?","saturn","Easy 10¢","10¢",13.1424657534247,13,"Adolescents",31
"246","Hard",2,2.7865,"How hard was this galaxy?","moon","Hard 1¢","1¢",13.1424657534247,13,"Adolescents",31
"247","Hard",3,3.2703,"How hard was this galaxy?","moon","Hard 10¢","10¢",13.1424657534247,13,"Adolescents",31
"248","Easy",2,4.172,"How hard was this galaxy?","saturn","Easy 1¢","1¢",13.1424657534247,13,"Adolescents",31
"249","Hard",4,4.8155,"How hard did you try?","saturn","Hard 10¢","10¢",10.5041095890411,10,"Children",32
"250","Easy",3,3.5666,"How hard did you try?","moon","Easy 1¢","1¢",10.5041095890411,10,"Children",32
"251","Easy",3,6.2099,"How hard did you try?","moon","Easy 10¢","10¢",10.5041095890411,10,"Children",32
"252","Hard",2,4.5504,"How hard did you try?","saturn","Hard 1¢","1¢",10.5041095890411,10,"Children",32
"253","Hard",3,4.5792,"How hard was this galaxy?","saturn","Hard 10¢","10¢",10.5041095890411,10,"Children",32
"254","Easy",3,2.746,"How hard was this galaxy?","moon","Easy 1¢","1¢",10.5041095890411,10,"Children",32
"255","Easy",3,2.6606,"How hard was this galaxy?","moon","Easy 10¢","10¢",10.5041095890411,10,"Children",32
"256","Hard",2,5.2062,"How hard was this galaxy?","saturn","Hard 1¢","1¢",10.5041095890411,10,"Children",32
"257","Easy",2,1.7689,"How hard did you try?","saturn","Easy 10¢","10¢",19.4547945205479,19,"Adults",33
"258","Hard",2,1.1582,"How hard did you try?","moon","Hard 1¢","1¢",19.4547945205479,19,"Adults",33
"259","Hard",2,0.5137,"How hard did you try?","moon","Hard 10¢","10¢",19.4547945205479,19,"Adults",33
"260","Easy",2,0.4109,"How hard did you try?","saturn","Easy 1¢","1¢",19.4547945205479,19,"Adults",33
"261","Easy",2,4.7132,"How hard was this galaxy?","saturn","Easy 10¢","10¢",19.4547945205479,19,"Adults",33
"262","Hard",2,0.3348,"How hard was this galaxy?","moon","Hard 1¢","1¢",19.4547945205479,19,"Adults",33
"263","Hard",2,0.2921,"How hard was this galaxy?","moon","Hard 10¢","10¢",19.4547945205479,19,"Adults",33
"264","Easy",2,0.3127,"How hard was this galaxy?","saturn","Easy 1¢","1¢",19.4547945205479,19,"Adults",33
"265","Easy",4,5.7292,"How hard did you try?","saturn","Easy 10¢","10¢",11.7287671232877,11,"Children",34
"266","Hard",3,3.1164,"How hard did you try?","moon","Hard 1¢","1¢",11.7287671232877,11,"Children",34
"267","Hard",5,6.0339,"How hard did you try?","moon","Hard 10¢","10¢",11.7287671232877,11,"Children",34
"268","Easy",5,3.5204,"How hard did you try?","saturn","Easy 1¢","1¢",11.7287671232877,11,"Children",34
"269","Easy",4,4.5461,"How hard was this galaxy?","saturn","Easy 10¢","10¢",11.7287671232877,11,"Children",34
"270","Hard",3,3.234,"How hard was this galaxy?","moon","Hard 1¢","1¢",11.7287671232877,11,"Children",34
"271","Hard",4,2.601,"How hard was this galaxy?","moon","Hard 10¢","10¢",11.7287671232877,11,"Children",34
"272","Easy",5,6.5752,"How hard was this galaxy?","saturn","Easy 1¢","1¢",11.7287671232877,11,"Children",34
"273","Easy",6,8.8579,"How hard did you try?","saturn","Easy 10¢","10¢",12.772602739726,12,"Children",35
"274","Hard",4,4.6546,"How hard did you try?","moon","Hard 1¢","1¢",12.772602739726,12,"Children",35
"275","Hard",6,7.0845,"How hard did you try?","moon","Hard 10¢","10¢",12.772602739726,12,"Children",35
"276","Easy",4,4.2904,"How hard did you try?","saturn","Easy 1¢","1¢",12.772602739726,12,"Children",35
"277","Easy",7,5.206,"How hard was this galaxy?","saturn","Easy 10¢","10¢",12.772602739726,12,"Children",35
"278","Hard",3,4.6689,"How hard was this galaxy?","moon","Hard 1¢","1¢",12.772602739726,12,"Children",35
"279","Hard",4,3.4378,"How hard was this galaxy?","moon","Hard 10¢","10¢",12.772602739726,12,"Children",35
"280","Easy",6,3.1262,"How hard was this galaxy?","saturn","Easy 1¢","1¢",12.772602739726,12,"Children",35
"281","Easy",5,3.0642,"How hard did you try?","saturn","Easy 10¢","10¢",17.6739726027397,17,"Adolescents",36
"282","Hard",2,5.3447,"How hard did you try?","moon","Hard 1¢","1¢",17.6739726027397,17,"Adolescents",36
"283","Hard",5,2.4703,"How hard did you try?","moon","Hard 10¢","10¢",17.6739726027397,17,"Adolescents",36
"284","Easy",1,2.14,"How hard did you try?","saturn","Easy 1¢","1¢",17.6739726027397,17,"Adolescents",36
"285","Easy",5,5.4085,"How hard was this galaxy?","saturn","Easy 10¢","10¢",17.6739726027397,17,"Adolescents",36
"286","Hard",3,3.358,"How hard was this galaxy?","moon","Hard 1¢","1¢",17.6739726027397,17,"Adolescents",36
"287","Hard",5,2.1265,"How hard was this galaxy?","moon","Hard 10¢","10¢",17.6739726027397,17,"Adolescents",36
"288","Easy",3,0.5556,"How hard was this galaxy?","saturn","Easy 1¢","1¢",17.6739726027397,17,"Adolescents",36
"289","Hard",6,6.2844,"How hard did you try?","saturn","Hard 10¢","10¢",17.1671232876712,17,"Adolescents",37
"290","Easy",5,3.1407,"How hard did you try?","moon","Easy 1¢","1¢",17.1671232876712,17,"Adolescents",37
"291","Easy",6,2.9025,"How hard did you try?","moon","Easy 10¢","10¢",17.1671232876712,17,"Adolescents",37
"292","Hard",5,2.886,"How hard did you try?","saturn","Hard 1¢","1¢",17.1671232876712,17,"Adolescents",37
"293","Hard",1,3.2329,"How hard was this galaxy?","saturn","Hard 10¢","10¢",17.1671232876712,17,"Adolescents",37
"294","Easy",1,0.6449,"How hard was this galaxy?","moon","Easy 1¢","1¢",17.1671232876712,17,"Adolescents",37
"295","Easy",1,0.5751,"How hard was this galaxy?","moon","Easy 10¢","10¢",17.1671232876712,17,"Adolescents",37
"296","Hard",1,0.4939,"How hard was this galaxy?","saturn","Hard 1¢","1¢",17.1671232876712,17,"Adolescents",37
"297","Hard",6,6.0857,"How hard did you try?","saturn","Hard 10¢","10¢",13.8575342465753,13,"Adolescents",38
"298","Easy",6,3.0516,"How hard did you try?","moon","Easy 1¢","1¢",13.8575342465753,13,"Adolescents",38
"299","Easy",6,3.2358,"How hard did you try?","moon","Easy 10¢","10¢",13.8575342465753,13,"Adolescents",38
"300","Hard",6,2.8034,"How hard did you try?","saturn","Hard 1¢","1¢",13.8575342465753,13,"Adolescents",38
"301","Hard",2,3.7477,"How hard was this galaxy?","saturn","Hard 10¢","10¢",13.8575342465753,13,"Adolescents",38
"302","Easy",4,4.2221,"How hard was this galaxy?","moon","Easy 1¢","1¢",13.8575342465753,13,"Adolescents",38
"303","Easy",4,2.8108,"How hard was this galaxy?","moon","Easy 10¢","10¢",13.8575342465753,13,"Adolescents",38
"304","Hard",3,2.3731,"How hard was this galaxy?","saturn","Hard 1¢","1¢",13.8575342465753,13,"Adolescents",38
"305","Easy",5,9.7827,"How hard did you try?","saturn","Easy 10¢","10¢",17.7068493150685,17,"Adolescents",39
"306","Hard",4,3.4354,"How hard did you try?","moon","Hard 1¢","1¢",17.7068493150685,17,"Adolescents",39
"307","Hard",5,0.6166,"How hard did you try?","moon","Hard 10¢","10¢",17.7068493150685,17,"Adolescents",39
"308","Easy",4,0.4993,"How hard did you try?","saturn","Easy 1¢","1¢",17.7068493150685,17,"Adolescents",39
"309","Easy",2,1.9425,"How hard was this galaxy?","saturn","Easy 10¢","10¢",17.7068493150685,17,"Adolescents",39
"310","Hard",2,0.6392,"How hard was this galaxy?","moon","Hard 1¢","1¢",17.7068493150685,17,"Adolescents",39
"311","Hard",2,0.6887,"How hard was this galaxy?","moon","Hard 10¢","10¢",17.7068493150685,17,"Adolescents",39
"312","Easy",2,0.6433,"How hard was this galaxy?","saturn","Easy 1¢","1¢",17.7068493150685,17,"Adolescents",39
"313","Easy",5,5.1385,"How hard did you try?","saturn","Easy 10¢","10¢",14.6027397260274,14,"Adolescents",40
"314","Hard",4,3.2272,"How hard did you try?","moon","Hard 1¢","1¢",14.6027397260274,14,"Adolescents",40
"315","Hard",5,5.194,"How hard did you try?","moon","Hard 10¢","10¢",14.6027397260274,14,"Adolescents",40
"316","Easy",4,3.0829,"How hard did you try?","saturn","Easy 1¢","1¢",14.6027397260274,14,"Adolescents",40
"317","Easy",4,2.9705,"How hard was this galaxy?","saturn","Easy 10¢","10¢",14.6027397260274,14,"Adolescents",40
"318","Hard",4,2.7511,"How hard was this galaxy?","moon","Hard 1¢","1¢",14.6027397260274,14,"Adolescents",40
"319","Hard",4,2.4769,"How hard was this galaxy?","moon","Hard 10¢","10¢",14.6027397260274,14,"Adolescents",40
"320","Easy",4,2.6359,"How hard was this galaxy?","saturn","Easy 1¢","1¢",14.6027397260274,14,"Adolescents",40
"321","Easy",4,5.6754,"How hard did you try?","saturn","Easy 10¢","10¢",10.4027397260274,10,"Children",41
"322","Hard",3,3.3643,"How hard did you try?","moon","Hard 1¢","1¢",10.4027397260274,10,"Children",41
"323","Hard",4,3.357,"How hard did you try?","moon","Hard 10¢","10¢",10.4027397260274,10,"Children",41
"324","Easy",3,2.882,"How hard did you try?","saturn","Easy 1¢","1¢",10.4027397260274,10,"Children",41
"325","Easy",2,2.8623,"How hard was this galaxy?","saturn","Easy 10¢","10¢",10.4027397260274,10,"Children",41
"326","Hard",2,1.0161,"How hard was this galaxy?","moon","Hard 1¢","1¢",10.4027397260274,10,"Children",41
"327","Hard",2,0.7081,"How hard was this galaxy?","moon","Hard 10¢","10¢",10.4027397260274,10,"Children",41
"328","Easy",2,0.6575,"How hard was this galaxy?","saturn","Easy 1¢","1¢",10.4027397260274,10,"Children",41
"329","Hard",3,3.4084,"How hard did you try?","saturn","Hard 10¢","10¢",15.1917808219178,15,"Adolescents",42
"330","Easy",3,0.9372,"How hard did you try?","moon","Easy 1¢","1¢",15.1917808219178,15,"Adolescents",42
"331","Easy",3,0.76,"How hard did you try?","moon","Easy 10¢","10¢",15.1917808219178,15,"Adolescents",42
"332","Hard",3,0.9333,"How hard did you try?","saturn","Hard 1¢","1¢",15.1917808219178,15,"Adolescents",42
"333","Hard",2,4.5532,"How hard was this galaxy?","saturn","Hard 10¢","10¢",15.1917808219178,15,"Adolescents",42
"334","Easy",2,0.9933,"How hard was this galaxy?","moon","Easy 1¢","1¢",15.1917808219178,15,"Adolescents",42
"335","Easy",2,0.827,"How hard was this galaxy?","moon","Easy 10¢","10¢",15.1917808219178,15,"Adolescents",42
"336","Hard",2,0.5706,"How hard was this galaxy?","saturn","Hard 1¢","1¢",15.1917808219178,15,"Adolescents",42
"337","Easy",3,10.915,"How hard did you try?","saturn","Easy 10¢","10¢",18.2684931506849,18,"Adults",43
"338","Hard",3,3.809,"How hard did you try?","moon","Hard 1¢","1¢",18.2684931506849,18,"Adults",43
"339","Hard",4,3.885,"How hard did you try?","moon","Hard 10¢","10¢",18.2684931506849,18,"Adults",43
"340","Easy",3,3.155,"How hard did you try?","saturn","Easy 1¢","1¢",18.2684931506849,18,"Adults",43
"341","Easy",1,2.157,"How hard was this galaxy?","saturn","Easy 10¢","10¢",18.2684931506849,18,"Adults",43
"342","Hard",1,0.55,"How hard was this galaxy?","moon","Hard 1¢","1¢",18.2684931506849,18,"Adults",43
"343","Hard",1,0.483,"How hard was this galaxy?","moon","Hard 10¢","10¢",18.2684931506849,18,"Adults",43
"344","Easy",1,0.558,"How hard was this galaxy?","saturn","Easy 1¢","1¢",18.2684931506849,18,"Adults",43
"345","Easy",7,2.9295,"How hard did you try?","saturn","Easy 10¢","10¢",20.2465753424658,20,"Adults",44
"346","Hard",7,1.0506,"How hard did you try?","moon","Hard 1¢","1¢",20.2465753424658,20,"Adults",44
"347","Hard",7,0.9098,"How hard did you try?","moon","Hard 10¢","10¢",20.2465753424658,20,"Adults",44
"348","Easy",7,0.807,"How hard did you try?","saturn","Easy 1¢","1¢",20.2465753424658,20,"Adults",44
"349","Easy",5,7.3373,"How hard was this galaxy?","saturn","Easy 10¢","10¢",20.2465753424658,20,"Adults",44
"350","Hard",4,7.0321,"How hard was this galaxy?","moon","Hard 1¢","1¢",20.2465753424658,20,"Adults",44
"351","Hard",4,4.9016,"How hard was this galaxy?","moon","Hard 10¢","10¢",20.2465753424658,20,"Adults",44
"352","Easy",3,2.4587,"How hard was this galaxy?","saturn","Easy 1¢","1¢",20.2465753424658,20,"Adults",44
"353","Easy",5,7.0378,"How hard did you try?","saturn","Easy 10¢","10¢",11.5260273972603,11,"Children",45
"354","Hard",5,6.6641,"How hard did you try?","moon","Hard 1¢","1¢",11.5260273972603,11,"Children",45
"355","Hard",6,6.2074,"How hard did you try?","moon","Hard 10¢","10¢",11.5260273972603,11,"Children",45
"356","Easy",5,3.9811,"How hard did you try?","saturn","Easy 1¢","1¢",11.5260273972603,11,"Children",45
"357","Easy",2,3.0369,"How hard was this galaxy?","saturn","Easy 10¢","10¢",11.5260273972603,11,"Children",45
"358","Hard",2,2.972,"How hard was this galaxy?","moon","Hard 1¢","1¢",11.5260273972603,11,"Children",45
"359","Hard",2,2.7813,"How hard was this galaxy?","moon","Hard 10¢","10¢",11.5260273972603,11,"Children",45
"360","Easy",2,2.9435,"How hard was this galaxy?","saturn","Easy 1¢","1¢",11.5260273972603,11,"Children",45
"361","Easy",6,1.5189,"How hard did you try?","saturn","Easy 10¢","10¢",14.8849315068493,14,"Adolescents",46
"362","Hard",6,3.7592,"How hard did you try?","moon","Hard 1¢","1¢",14.8849315068493,14,"Adolescents",46
"363","Hard",6,1.511,"How hard did you try?","moon","Hard 10¢","10¢",14.8849315068493,14,"Adolescents",46
"364","Easy",6,0.6258,"How hard did you try?","saturn","Easy 1¢","1¢",14.8849315068493,14,"Adolescents",46
"365","Easy",1,4.2506,"How hard was this galaxy?","saturn","Easy 10¢","10¢",14.8849315068493,14,"Adolescents",46
"366","Hard",1,0.5873,"How hard was this galaxy?","moon","Hard 1¢","1¢",14.8849315068493,14,"Adolescents",46
"367","Hard",1,0.3953,"How hard was this galaxy?","moon","Hard 10¢","10¢",14.8849315068493,14,"Adolescents",46
"368","Easy",1,0.3499,"How hard was this galaxy?","saturn","Easy 1¢","1¢",14.8849315068493,14,"Adolescents",46
"369","Easy",1,3.9227,"How hard did you try?","saturn","Easy 10¢","10¢",16.1095890410959,16,"Adolescents",47
"370","Hard",1,3.8201,"How hard did you try?","moon","Hard 1¢","1¢",16.1095890410959,16,"Adolescents",47
"371","Hard",1,3.5802,"How hard did you try?","moon","Hard 10¢","10¢",16.1095890410959,16,"Adolescents",47
"372","Easy",1,3.8999,"How hard did you try?","saturn","Easy 1¢","1¢",16.1095890410959,16,"Adolescents",47
"373","Easy",1,3.3613,"How hard was this galaxy?","saturn","Easy 10¢","10¢",16.1095890410959,16,"Adolescents",47
"374","Hard",1,3.1083,"How hard was this galaxy?","moon","Hard 1¢","1¢",16.1095890410959,16,"Adolescents",47
"375","Hard",1,3.1036,"How hard was this galaxy?","moon","Hard 10¢","10¢",16.1095890410959,16,"Adolescents",47
"376","Easy",1,3.2673,"How hard was this galaxy?","saturn","Easy 1¢","1¢",16.1095890410959,16,"Adolescents",47
"377","Hard",3,4.8998,"How hard did you try?","saturn","Hard 10¢","10¢",20.6657534246575,20,"Adults",48
"378","Easy",4,2.6795,"How hard did you try?","moon","Easy 1¢","1¢",20.6657534246575,20,"Adults",48
"379","Easy",3,1.4896,"How hard did you try?","moon","Easy 10¢","10¢",20.6657534246575,20,"Adults",48
"380","Hard",4,1.1975,"How hard did you try?","saturn","Hard 1¢","1¢",20.6657534246575,20,"Adults",48
"381","Hard",3,2.3446,"How hard was this galaxy?","saturn","Hard 10¢","10¢",20.6657534246575,20,"Adults",48
"382","Easy",2,3.242,"How hard was this galaxy?","moon","Easy 1¢","1¢",20.6657534246575,20,"Adults",48
"383","Easy",3,1.1914,"How hard was this galaxy?","moon","Easy 10¢","10¢",20.6657534246575,20,"Adults",48
"384","Hard",3,1.1768,"How hard was this galaxy?","saturn","Hard 1¢","1¢",20.6657534246575,20,"Adults",48
"385","Hard",4,4.9248,"How hard did you try?","saturn","Hard 10¢","10¢",13.0876712328767,13,"Adolescents",49
"386","Easy",3,6.5774,"How hard did you try?","moon","Easy 1¢","1¢",13.0876712328767,13,"Adolescents",49
"387","Easy",4,3.2242,"How hard did you try?","moon","Easy 10¢","10¢",13.0876712328767,13,"Adolescents",49
"388","Hard",3,4.2209,"How hard did you try?","saturn","Hard 1¢","1¢",13.0876712328767,13,"Adolescents",49
"389","Hard",4,5.1553,"How hard was this galaxy?","saturn","Hard 10¢","10¢",13.0876712328767,13,"Adolescents",49
"390","Easy",3,3.3084,"How hard was this galaxy?","moon","Easy 1¢","1¢",13.0876712328767,13,"Adolescents",49
"391","Easy",4,2.7644,"How hard was this galaxy?","moon","Easy 10¢","10¢",13.0876712328767,13,"Adolescents",49
"392","Hard",3,2.602,"How hard was this galaxy?","saturn","Hard 1¢","1¢",13.0876712328767,13,"Adolescents",49
"393","Hard",3,6.6907,"How hard did you try?","saturn","Hard 10¢","10¢",12.2301369863014,12,"Children",50
"394","Easy",3,1.065,"How hard did you try?","moon","Easy 1¢","1¢",12.2301369863014,12,"Children",50
"395","Easy",3,2.7773,"How hard did you try?","moon","Easy 10¢","10¢",12.2301369863014,12,"Children",50
"396","Hard",2,1.4135,"How hard did you try?","saturn","Hard 1¢","1¢",12.2301369863014,12,"Children",50
"397","Hard",3,3.0732,"How hard was this galaxy?","saturn","Hard 10¢","10¢",12.2301369863014,12,"Children",50
"398","Easy",1,1.3867,"How hard was this galaxy?","moon","Easy 1¢","1¢",12.2301369863014,12,"Children",50
"399","Easy",3,1.3253,"How hard was this galaxy?","moon","Easy 10¢","10¢",12.2301369863014,12,"Children",50
"400","Hard",1,1.1074,"How hard was this galaxy?","saturn","Hard 1¢","1¢",12.2301369863014,12,"Children",50
"401","Hard",4,10.6738,"How hard did you try?","saturn","Hard 10¢","10¢",10.3068493150685,10,"Children",51
"402","Easy",2,3.7129,"How hard did you try?","moon","Easy 1¢","1¢",10.3068493150685,10,"Children",51
"403","Easy",4,6.6147,"How hard did you try?","moon","Easy 10¢","10¢",10.3068493150685,10,"Children",51
"404","Hard",2,3.1682,"How hard did you try?","saturn","Hard 1¢","1¢",10.3068493150685,10,"Children",51
"405","Hard",2,5.9685,"How hard was this galaxy?","saturn","Hard 10¢","10¢",10.3068493150685,10,"Children",51
"406","Easy",2,2.7779,"How hard was this galaxy?","moon","Easy 1¢","1¢",10.3068493150685,10,"Children",51
"407","Easy",2,2.5376,"How hard was this galaxy?","moon","Easy 10¢","10¢",10.3068493150685,10,"Children",51
"408","Hard",2,2.4669,"How hard was this galaxy?","saturn","Hard 1¢","1¢",10.3068493150685,10,"Children",51
"409","Hard",5,7.7272,"How hard did you try?","saturn","Hard 10¢","10¢",18.1506849315068,18,"Adults",52
"410","Easy",3,2.9553,"How hard did you try?","moon","Easy 1¢","1¢",18.1506849315068,18,"Adults",52
"411","Easy",5,1.504,"How hard did you try?","moon","Easy 10¢","10¢",18.1506849315068,18,"Adults",52
"412","Hard",3,0.9586,"How hard did you try?","saturn","Hard 1¢","1¢",18.1506849315068,18,"Adults",52
"413","Hard",4,4.5778,"How hard was this galaxy?","saturn","Hard 10¢","10¢",18.1506849315068,18,"Adults",52
"414","Easy",5,4.0857,"How hard was this galaxy?","moon","Easy 1¢","1¢",18.1506849315068,18,"Adults",52
"415","Easy",4,1.4893,"How hard was this galaxy?","moon","Easy 10¢","10¢",18.1506849315068,18,"Adults",52
"416","Hard",5,0.382,"How hard was this galaxy?","saturn","Hard 1¢","1¢",18.1506849315068,18,"Adults",52
"417","Hard",6,4.7991,"How hard did you try?","saturn","Hard 10¢","10¢",19.4684931506849,19,"Adults",53
"418","Easy",4,4.2148,"How hard did you try?","moon","Easy 1¢","1¢",19.4684931506849,19,"Adults",53
"419","Easy",6,4.936,"How hard did you try?","moon","Easy 10¢","10¢",19.4684931506849,19,"Adults",53
"420","Hard",4,3.1319,"How hard did you try?","saturn","Hard 1¢","1¢",19.4684931506849,19,"Adults",53
"421","Hard",4,3.731,"How hard was this galaxy?","saturn","Hard 10¢","10¢",19.4684931506849,19,"Adults",53
"422","Easy",4,2.611,"How hard was this galaxy?","moon","Easy 1¢","1¢",19.4684931506849,19,"Adults",53
"423","Easy",4,0.9067,"How hard was this galaxy?","moon","Easy 10¢","10¢",19.4684931506849,19,"Adults",53
"424","Hard",4,0.6067,"How hard was this galaxy?","saturn","Hard 1¢","1¢",19.4684931506849,19,"Adults",53
"425","Easy",6,5.2131,"How hard did you try?","saturn","Easy 10¢","10¢",17.1698630136986,17,"Adolescents",54
"426","Hard",4,5.4614,"How hard did you try?","moon","Hard 1¢","1¢",17.1698630136986,17,"Adolescents",54
"427","Hard",6,2.9776,"How hard did you try?","moon","Hard 10¢","10¢",17.1698630136986,17,"Adolescents",54
"428","Easy",4,2.4969,"How hard did you try?","saturn","Easy 1¢","1¢",17.1698630136986,17,"Adolescents",54
"429","Easy",3,10.5464,"How hard was this galaxy?","saturn","Easy 10¢","10¢",17.1698630136986,17,"Adolescents",54
"430","Hard",3,1.4407,"How hard was this galaxy?","moon","Hard 1¢","1¢",17.1698630136986,17,"Adolescents",54
"431","Hard",3,1.993,"How hard was this galaxy?","moon","Hard 10¢","10¢",17.1698630136986,17,"Adolescents",54
"432","Easy",3,2.8004,"How hard was this galaxy?","saturn","Easy 1¢","1¢",17.1698630136986,17,"Adolescents",54
"433","Easy",5,6.0195,"How hard did you try?","saturn","Easy 10¢","10¢",13.5671232876712,13,"Adolescents",55
"434","Hard",3,3.5834,"How hard did you try?","moon","Hard 1¢","1¢",13.5671232876712,13,"Adolescents",55
"435","Hard",5,3.619,"How hard did you try?","moon","Hard 10¢","10¢",13.5671232876712,13,"Adolescents",55
"436","Easy",4,3.1616,"How hard did you try?","saturn","Easy 1¢","1¢",13.5671232876712,13,"Adolescents",55
"437","Easy",3,2.4175,"How hard was this galaxy?","saturn","Easy 10¢","10¢",13.5671232876712,13,"Adolescents",55
"438","Hard",2,2.0454,"How hard was this galaxy?","moon","Hard 1¢","1¢",13.5671232876712,13,"Adolescents",55
"439","Hard",3,0.7751,"How hard was this galaxy?","moon","Hard 10¢","10¢",13.5671232876712,13,"Adolescents",55
"440","Easy",2,0.8286,"How hard was this galaxy?","saturn","Easy 1¢","1¢",13.5671232876712,13,"Adolescents",55
"441","Hard",7,5.3847,"How hard did you try?","saturn","Hard 10¢","10¢",11.8,11,"Children",56
"442","Easy",2,3.9045,"How hard did you try?","moon","Easy 1¢","1¢",11.8,11,"Children",56
"443","Easy",7,3.3566,"How hard did you try?","moon","Easy 10¢","10¢",11.8,11,"Children",56
"444","Hard",3,3.4218,"How hard did you try?","saturn","Hard 1¢","1¢",11.8,11,"Children",56
"445","Hard",5,4.4689,"How hard was this galaxy?","saturn","Hard 10¢","10¢",11.8,11,"Children",56
"446","Easy",2,3.385,"How hard was this galaxy?","moon","Easy 1¢","1¢",11.8,11,"Children",56
"447","Easy",2,5.7869,"How hard was this galaxy?","moon","Easy 10¢","10¢",11.8,11,"Children",56
"448","Hard",1,3.6518,"How hard was this galaxy?","saturn","Hard 1¢","1¢",11.8,11,"Children",56
"449","Easy",6,5.8179,"How hard did you try?","saturn","Easy 10¢","10¢",12.1342465753425,12,"Children",57
"450","Hard",5,3.8833,"How hard did you try?","moon","Hard 1¢","1¢",12.1342465753425,12,"Children",57
"451","Hard",6,2.6504,"How hard did you try?","moon","Hard 10¢","10¢",12.1342465753425,12,"Children",57
"452","Easy",6,3.164,"How hard did you try?","saturn","Easy 1¢","1¢",12.1342465753425,12,"Children",57
"453","Easy",4,5.9374,"How hard was this galaxy?","saturn","Easy 10¢","10¢",12.1342465753425,12,"Children",57
"454","Hard",3,2.609,"How hard was this galaxy?","moon","Hard 1¢","1¢",12.1342465753425,12,"Children",57
"455","Hard",3,1.1523,"How hard was this galaxy?","moon","Hard 10¢","10¢",12.1342465753425,12,"Children",57
"456","Easy",4,2.1787,"How hard was this galaxy?","saturn","Easy 1¢","1¢",12.1342465753425,12,"Children",57
"457","Easy",5,5.5444,"How hard did you try?","saturn","Easy 10¢","10¢",16.2465753424658,16,"Adolescents",58
"458","Hard",5,3.149,"How hard did you try?","moon","Hard 1¢","1¢",16.2465753424658,16,"Adolescents",58
"459","Hard",5,4.2134,"How hard did you try?","moon","Hard 10¢","10¢",16.2465753424658,16,"Adolescents",58
"460","Easy",4,2.9142,"How hard did you try?","saturn","Easy 1¢","1¢",16.2465753424658,16,"Adolescents",58
"461","Easy",4,5.2163,"How hard was this galaxy?","saturn","Easy 10¢","10¢",16.2465753424658,16,"Adolescents",58
"462","Hard",4,4.9523,"How hard was this galaxy?","moon","Hard 1¢","1¢",16.2465753424658,16,"Adolescents",58
"463","Hard",4,2.7723,"How hard was this galaxy?","moon","Hard 10¢","10¢",16.2465753424658,16,"Adolescents",58
"464","Easy",4,2.443,"How hard was this galaxy?","saturn","Easy 1¢","1¢",16.2465753424658,16,"Adolescents",58
"465","Easy",7,2.8679,"How hard did you try?","saturn","Easy 10¢","10¢",13.4602739726027,13,"Adolescents",59
"466","Hard",7,1.7672,"How hard did you try?","moon","Hard 1¢","1¢",13.4602739726027,13,"Adolescents",59
"467","Hard",7,1.3606,"How hard did you try?","moon","Hard 10¢","10¢",13.4602739726027,13,"Adolescents",59
"468","Easy",7,1.7998,"How hard did you try?","saturn","Easy 1¢","1¢",13.4602739726027,13,"Adolescents",59
"469","Easy",5,4.5713,"How hard was this galaxy?","saturn","Easy 10¢","10¢",13.4602739726027,13,"Adolescents",59
"470","Hard",4,3.3601,"How hard was this galaxy?","moon","Hard 1¢","1¢",13.4602739726027,13,"Adolescents",59
"471","Hard",5,2.7748,"How hard was this galaxy?","moon","Hard 10¢","10¢",13.4602739726027,13,"Adolescents",59
"472","Easy",5,2.5307,"How hard was this galaxy?","saturn","Easy 1¢","1¢",13.4602739726027,13,"Adolescents",59
"473","Easy",6,5.0196,"How hard did you try?","saturn","Easy 10¢","10¢",14.9424657534247,14,"Adolescents",60
"474","Hard",6,3.4148,"How hard did you try?","moon","Hard 1¢","1¢",14.9424657534247,14,"Adolescents",60
"475","Hard",6,2.0134,"How hard did you try?","moon","Hard 10¢","10¢",14.9424657534247,14,"Adolescents",60
"476","Easy",6,1.8193,"How hard did you try?","saturn","Easy 1¢","1¢",14.9424657534247,14,"Adolescents",60
"477","Easy",2,2.0099,"How hard was this galaxy?","saturn","Easy 10¢","10¢",14.9424657534247,14,"Adolescents",60
"478","Hard",2,0.5669,"How hard was this galaxy?","moon","Hard 1¢","1¢",14.9424657534247,14,"Adolescents",60
"479","Hard",2,0.426,"How hard was this galaxy?","moon","Hard 10¢","10¢",14.9424657534247,14,"Adolescents",60
"480","Easy",2,0.3968,"How hard was this galaxy?","saturn","Easy 1¢","1¢",14.9424657534247,14,"Adolescents",60
"481","Hard",7,3.6423,"How hard did you try?","saturn","Hard 10¢","10¢",17.9041095890411,17,"Adolescents",61
"482","Easy",7,2.8494,"How hard did you try?","moon","Easy 1¢","1¢",17.9041095890411,17,"Adolescents",61
"483","Easy",7,0.8704,"How hard did you try?","moon","Easy 10¢","10¢",17.9041095890411,17,"Adolescents",61
